,배우명,드라마명,역할,성별,장르,방영요일,방송사,나이,방영년도,가중평점,결혼여부
0,정해인,설강화,주연,남자,"['drama', 'society', 'romance']","['saturday', ' sunday']",['JTBC'],34,2021,8.2,미혼
1,정해인,D.P.,주연,남자,"['drama', 'action', 'hist_war']",['friday'],['NETFLIX'],34,2021,8.43,미혼
2,정해인,반의반,주연,남자,"['drama', 'romance']","['monday', ' tuesday']",['TVN'],33,2020,7.97,미혼
3,정해인,봄밤,주연,남자,"['drama', 'romance']","['thursday', ' wednesday']","['MBC', ' NETFLIX']",32,2019,8.17,미혼
4,정해인,밥 잘 사주는 예쁜 누나,주연,남자,"['drama', 'romance']","['friday', ' saturday']","['JTBC', ' NETFLIX']",31,2018,7.92,미혼
5,정해인,당신이 잠든 사이에,주연,남자,"['drama', 'romance']","['monday', ' tuesday', ' wednesday', ' thursday', ' friday']",['SBS'],24,2011,7.7,미혼
6,정해인,불야성,조연,남자,"['drama', 'society']","['monday', ' tuesday']",['MBC'],29,2016,7.64,미혼
7,정해인,블러드,조연,남자,"['sf', 'action', 'romance', 'society']","['monday', ' tuesday']",['KBS2'],28,2015,7.49,미혼
8,김성균,D.P.,주연,남자,"['drama', 'action', 'hist_war']",['friday'],['NETFLIX'],42,2021,8.43,기혼
9,김성균,열혈사제,주연,남자,"['comedy', 'thriller', 'action']","['friday', ' saturday']",['SBS'],40,2019,8.2,기혼
10,김성균,언터처블,주연,남자,"['thriller', 'action', 'society']","['friday', ' saturday']",['JTBC'],38,2017,7.68,기혼
11,지진희,더 로드: 1의 비극,주연,남자,"['thriller', 'drama']","['wednesday', ' thursday']",['TVN'],51,2021,7.68,기혼
12,지진희,언더커버,주연,남자,"['thriller', 'action']","['friday', ' saturday']",['JTBC'],51,2021,7.73,기혼
13,지진희,"60일, 지정생존자",주연,남자,"['thriller', 'society', 'drama']","['monday', ' tuesday']","['NETFLIX', ' TVN']",49,2019,8.03,기혼
14,지진희,미스티,주연,남자,"['thriller', 'romance']","['friday', ' saturday']",['JTBC'],48,2018,7.88,기혼
15,지진희,끝에서 두 번째 사랑,주연,남자,"['drama', 'romance']","['saturday', ' sunday']",['SBS'],46,2016,7.66,기혼
16,지진희,애인 있어요,주연,남자,"['drama', 'romance']","['saturday', ' sunday']",['SBS'],45,2015,7.72,기혼
17,지진희,블러드,주연,남자,"['sf', 'action', 'romance', 'society']","['monday', ' tuesday']",['KBS2'],45,2015,7.49,기혼
18,이성민,소년심판,주연,남자,"['drama', 'society']",['friday'],['NETFLIX'],55,2022,8.13,기혼
